cases_new,cases_import,cases_recovered,cases_active
4.0,4,0,4
0.0,0,0,4
3.0,3,0,7
1.0,1,0,8
0.0,0,0,8
2.0,2,0,10
2.0,2,1,11
2.0,1,0,13
1.0,1,0,14
1.0,1,1,14
1.0,0,1,14
1.0,1,0,15
0.0,0,0,15
1.0,1,4,12
3.0,3,1,14
0.0,0,0,14
0.0,0,3,11
0.0,0,2,9
0.0,0,4,5
0.0,0,0,5
0.0,0,1,4
0.0,0,2,2
0.0,0,0,2
1.0,1,2,1
2.0,2,0,3
0.0,0,0,3
4.0,1,0,7
0.0,0,0,7
7.0,1,0,14
14.0,0,1,27
5.0,0,0,32
28.0,1,0,60
10.0,2,1,69
6.0,0,1,74
18.0,2,1,91
12.0,0,0,103
20.0,3,1,122
9.0,1,6,125
39.0,1,0,164
41.0,1,4,201
190.0,2,5,386
125.0,6,0,511
120.0,3,7,622
117.0,8,11,728
110.0,5,15,823
130.0,6,12,940
153.0,11,27,1062
123.0,21,25,1156
212.0,29,20,1343
106.0,19,24,1423
172.0,35,16,1576
235.0,27,16,1790
130.0,19,44,1874
159.0,22,61,1966
150.0,17,68,2043
156.0,16,90,2105
140.0,17,58,2182
142.0,15,108,2214
208.0,36,122,2298
217.0,21,60,2450
150.0,17,88,2509
179.0,21,90,2596
131.0,19,236,2489
170.0,19,80,2578
156.0,20,166,2567
109.0,20,121,2553
118.0,20,222,2446
184.0,10,165,2462
153.0,14,113,2497
134.0,8,168,2462
170.0,12,202,2427
85.0,4,169,2341
110.0,3,119,2330
69.0,6,201,2197
54.0,6,135,2116
84.0,48,95,2104
36.0,13,98,2041
57.0,18,54,2042
50.0,5,103,1987
71.0,20,90,1967
88.0,15,121,1933
51.0,4,99,1883
38.0,5,100,1821
40.0,5,95,1765
31.0,10,75,1720
94.0,72,55,1758
57.0,26,84,1729
69.0,12,39,1759
0.0,11,116,1747
122.0,52,87,1781
55.0,7,71,1765
30.0,1,83,1710
45.0,1,135,1620
39.0,1,74,1584
68.0,4,88,1564
54.0,1,65,1552
67.0,0,96,1522
70.0,13,88,1504
16.0,3,110,1409
37.0,4,58,1386
40.0,0,70,1356
36.0,1,88,1304
17.0,6,73,1248
22.0,5,59,1211
47.0,21,44,1213
37.0,2,31,1219
31.0,10,60,1190
50.0,3,90,1149
78.0,26,63,1164
48.0,4,53,1159
60.0,7,33,1186
172.0,5,34,1324
187.0,10,62,1449
15.0,6,42,1422
10.0,0,86,1346
103.0,7,66,1383
30.0,3,95,1318
57.0,10,23,1352
38.0,26,51,1339
20.0,15,66,1293
93.0,0,61,1325
277.0,2,28,1573
19.0,7,51,1540
37.0,8,25,1552
19.0,6,39,1532
7.0,2,20,1519
7.0,6,281,1245
2.0,1,39,1207
31.0,11,51,1186
33.0,16,103,1114
43.0,5,143,1014
8.0,2,35,987
41.0,3,54,974
11.0,1,333,652
10.0,0,140,522
14.0,3,127,409
6.0,2,70,345
21.0,2,76,290
16.0,3,10,296
15.0,2,21,290
3.0,0,9,284
6.0,2,45,245
4.0,3,40,209
6.0,5,23,192
10.0,4,14,188
18.0,4,10,196
3.0,1,16,183
2.0,1,20,165
1.0,1,21,145
3.0,1,62,86
5.0,3,9,82
10.0,7,15,77
5.0,3,4,78
5.0,3,11,72
6.0,4,5,73
3.0,3,5,71
6.0,6,13,64
13.0,8,12,64
8.0,4,4,68
14.0,3,4,78
7.0,6,1,84
4.0,4,4,84
5.0,1,2,87
3.0,1,12,78
18.0,10,3,92
9.0,4,5,96
15.0,4,7,104
21.0,6,2,123
15.0,4,7,131
16.0,8,4,143
9.0,3,8,144
21.0,5,3,162
23.0,6,17,168
13.0,3,6,174
7.0,4,1,180
39.0,11,6,213
13.0,8,5,220
8.0,3,5,223
12.0,5,27,208
9.0,7,3,214
14.0,1,17,211
2.0,0,4,209
1.0,0,16,194
21.0,15,18,197
15.0,5,11,201
25.0,9,15,211
7.0,6,47,171
13.0,9,9,175
11.0,5,19,166
9.0,5,6,169
11.0,8,8,172
15.0,4,4,183
20.0,7,7,196
26.0,3,3,219
25.0,16,28,216
12.0,2,17,211
7.0,4,26,192
16.0,4,23,185
5.0,5,7,183
9.0,4,13,179
8.0,3,4,183
10.0,8,10,183
7.0,2,6,184
11.0,2,6,189
6.0,1,7,188
5.0,2,16,177
10.0,8,36,151
0.0,10,8,153
17.0,15,10,159
6.0,4,6,159
14.0,5,21,151
6.0,4,4,153
14.0,4,4,163
11.0,7,9,165
6.0,4,21,150
6.0,3,2,154
62.0,6,9,207
100.0,15,12,295
24.0,6,7,312
45.0,1,24,333
182.0,1,14,501
58.0,5,8,551
47.0,2,7,591
31.0,3,7,614
23.0,10,6,631
62.0,1,26,667
21.0,5,15,673
95.0,4,14,753
20.0,3,51,721
52.0,12,40,733
57.0,6,40,750
82.0,10,168,663
147.0,4,39,769
72.0,2,64,777
110.0,4,30,857
82.0,3,89,849
150.0,4,50,948
115.0,3,54,1008
101.0,4,50,1059
89.0,3,28,1120
260.0,1,47,1333
287.0,0,81,1536
317.0,0,121,1731
293.0,1,67,1955
432.0,3,57,2327
691.0,3,87,2930
489.0,2,74,3342
375.0,4,18,3694
354.0,2,188,3856
374.0,2,73,4154
561.0,8,133,4579
563.0,1,109,5030
660.0,2,350,5336
660.0,6,233,5759
589.0,3,409,5936
629.0,2,245,6314
869.0,0,302,6875
871.0,5,701,7043
865.0,7,455,7446
862.0,2,634,7670
732.0,8,580,7815
847.0,5,486,8165
710.0,1,467,8399
0.0,11,671,8953
823.0,0,579,9191
1240.0,2,691,9738
835.0,5,674,9897
801.0,2,573,10115
649.0,7,685,10075
0.0,0,491,10380
659.0,1,1000,10034
957.0,0,972,10015
834.0,3,900,9944
1054.0,14,875,10115
1032.0,3,820,10320
1009.0,9,839,10484
1755.0,3,726,11509
0.0,0,1029,11646
852.0,13,825,11669
972.0,5,1345,11295
869.0,1,725,11437
822.0,7,769,11488
919.0,3,996,11411
1304.0,4,900,11812
1114.0,2,803,12114
1208.0,6,1013,12306
1103.0,1,821,12585
1210.0,19,1018,12774
660.0,4,630,12799
1290.0,5,878,13207
958.0,5,956,13206
1041.0,2,1405,12838
1096.0,6,1104,12826
1884.0,2,883,13823
2188.0,0,1673,14338
970.0,5,2348,12956
935.0,4,2555,11333
1109.0,10,1148,11292
1315.0,5,1110,11492
1309.0,1,1333,11462
1212.0,9,2112,10556
1472.0,5,1552,10476
851.0,4,658,10663
1075.0,3,948,10789
1141.0,3,1144,10785
1123.0,5,1143,10761
1335.0,3,1069,11025
1600.0,3,1033,11588
1012.0,7,1750,10844
959.0,6,1068,10732
2234.0,5,1112,11846
1810.0,11,937,12713
1937.0,2,911,13733
1229.0,2,1309,13651
1371.0,1,1204,13817
1772.0,12,1084,14500
1295.0,10,1052,14740
1220.0,6,1297,14659
1683.0,8,1214,15126
1153.0,2,998,15277
1340.0,3,1067,15546
2018.0,7,1084,16478
2062.0,4,911,17624
1348.0,16,710,18259
1581.0,2,1085,18745
1247.0,2,1441,18547
2335.0,11,874,20000
1196.0,5,997,20198
1594.0,3,1181,20602
1925.0,10,1123,21401
1870.0,2,745,22517
2525.0,13,1481,23554
2068.0,2,2230,23380
2295.0,9,3321,22345
1704.0,5,2726,21315
1741.0,8,1010,22036
2027.0,16,1221,22832
2593.0,4,1129,24279
3027.0,6,2145,25155
2643.0,2,2708,25078
2451.0,5,1401,26120
2433.0,7,1277,27264
2232.0,5,1006,28487
3309.0,6,1469,30317
2985.0,2,994,32299
3337.0,7,1710,33913
3211.0,5,1939,35171
4029.0,8,2148,37037
3339.0,15,2676,37689
3306.0,7,2293,38686
3631.0,7,2944,39363
4008.0,5,2374,40977
3170.0,8,2490,41642
3631.0,6,2554,42703
4275.0,11,4313,42650
3346.0,7,4427,41558
3048.0,8,3638,40952
3585.0,2,4076,40441
3680.0,6,1858,42247
4094.0,8,3281,43047
5725.0,7,3423,45330
5728.0,5,3805,47240
5298.0,3,4522,47998
4214.0,9,4280,47917
3455.0,5,3661,47697
4284.0,6,3804,48157
4571.0,3,4092,48614
3391.0,4,3392,48605
3847.0,4,1692,50744
3731.0,8,3369,51094
3100.0,1,2340,51831
2764.0,6,3887,50695
3288.0,5,1929,52043
3384.0,15,3774,51640
3318.0,7,3505,51447
3499.0,1,3515,51416
2464.0,3,4525,49346
2176.0,1,4521,46987
2720.0,0,5718,43976
2998.0,7,5709,41258
2712.0,4,5320,38643
2936.0,9,4889,36681
2461.0,0,4782,34352
3297.0,6,4456,33188
2192.0,3,3414,31956
2468.0,4,4055,30359
3545.0,1,3331,30568
1924.0,6,3752,28734
2253.0,7,3085,27899
2364.0,1,3320,26933
2437.0,1,3251,26114
1828.0,7,2486,25452
1555.0,3,2528,24470
1745.0,2,2276,23935
2063.0,9,2922,23073
2154.0,5,3275,21944
1680.0,3,2548,21072
1683.0,10,2506,20244
1529.0,9,2076,19691
1280.0,2,2345,18618
1448.0,10,2137,17922
1647.0,5,2104,17461
1575.0,7,2042,16991
1470.0,12,1830,16628
1354.0,14,1782,16196
1208.0,9,1973,15427
1063.0,4,1365,15122
1219.0,7,1346,14993
1213.0,6,1503,14702
1576.0,11,1996,14281
1671.0,2,1585,14362
1327.0,11,1247,14437
1116.0,8,1495,14056
1384.0,9,1058,14380
1268.0,5,1083,14561
1360.0,1,1491,14428
1275.0,32,1509,14193
0.0,5,1257,14127
1302.0,9,1127,14298
941.0,8,1097,14138
1133.0,8,1148,14117
1482.0,2,1070,14520
1178.0,20,1377,14318
1294.0,26,1442,14168
1638.0,7,1449,14352
1349.0,7,1270,14425
1070.0,9,1294,14197
1300.0,24,1412,14082
1139.0,13,1199,14020
1285.0,17,1175,14124
1854.0,20,1247,14724
1510.0,5,1248,14983
1739.0,8,1216,15500
1317.0,12,1052,15754
1767.0,9,1290,16226
0.0,6,1485,16625
0.0,19,1259,17510
2551.0,29,1524,18531
2331.0,12,1832,19019
2195.0,10,1427,19779
2078.0,13,1402,20445
2341.0,7,1592,21184
2340.0,12,1910,21605
2875.0,29,2541,21933
2847.0,4,2341,22424
2717.0,27,2292,22841
2690.0,10,1853,23657
2776.0,4,1803,24616
2733.0,5,2019,25319
3142.0,13,1822,26625
3332.0,9,1943,27992
3788.0,2,2640,29119
2881.0,16,2462,29522
3418.0,10,2698,30222
2500.0,4,2068,30631
3120.0,6,2334,31403
3744.0,7,2304,32812
3551.0,16,2709,33626
4498.0,5,3449,34644
4519.0,5,2719,36415
3733.0,6,3211,36916
3807.0,5,3454,37234
3973.0,5,2848,38315
4765.0,7,3124,39906
4855.0,3,3347,41376
4113.0,1,4190,41254
0.0,9,3432,41914
3780.0,2,3990,41660
4446.0,3,2784,43271
4865.0,5,3497,44581
6075.0,3,3516,47087
6806.0,2,3916,49931
6493.0,2,4508,51855
6320.0,3,4694,53396
6976.0,9,3587,56716
6509.0,26,3452,59707
7289.0,4,3789,63133
7478.0,5,4665,65855
7857.0,9,4598,69051
8290.0,2,4814,72422
9020.0,6,5527,75840
6999.0,4,5121,77609
6824.0,3,5251,79085
7105.0,2,6083,80013
7703.0,2,5777,81852
8209.0,64,7049,82902
7748.0,2,6624,83943
7452.0,8,6105,85200
6241.0,14,5133,86229
5271.0,14,7548,83868
5566.0,4,6962,82399
6239.0,11,7386,81159
5671.0,8,7325,79437
6849.0,4,7749,78471
5793.0,6,8334,75847
5304.0,5,8163,72915
4949.0,6,6588,71185
5419.0,6,6831,69694
5150.0,3,7240,67523
5738.0,3,7530,65650
6440.0,5,6861,65148
5911.0,1,6918,64074
5293.0,7,5941,63351
4611.0,8,5439,62442
4743.0,2,5557,61540
5244.0,7,6372,60328
5841.0,8,5411,60677
5812.0,32,6775,59636
5803.0,10,5193,60158
5586.0,3,4777,60895
5218.0,7,4744,61278
6437.0,14,5298,62326
6276.0,16,4929,63563
6988.0,5,5580,64873
6982.0,3,6278,65470
6658.0,11,5677,66333
6045.0,20,5271,66993
6387.0,26,4532,68748
7654.0,11,4797,71492
7097.0,26,4863,73571
8868.0,10,5802,76479
9180.0,7,5713,79764
9353.0,11,5910,83058
9105.0,18,5194,86785
8574.0,40,5041,90142
11079.0,27,5990,95038
11618.0,26,6377,100100
13215.0,13,6095,107010
12541.0,16,6742,112595
12528.0,19,6629,118230
10710.0,12,5778,122926
10972.0,48,6439,127236
12366.0,8,7567,131757
11985.0,7,7902,135568
13034.0,25,8436,139900
15573.0,32,10094,145090
15902.0,26,9471,151222
17045.0,6,9683,158281
14516.0,3,9371,163157
16117.0,26,11526,167472
17405.0,6,12373,172183
17170.0,32,12930,176134
16840.0,17,12179,180468
17786.0,9,11718,186224
17150.0,1,11326,191722
15764.0,6,11767,195344
17105.0,37,12297,199812
19819.0,23,12704,206620
20596.0,34,13893,213010
20889.0,13,16394,217147
19257.0,16,16322,219748
18688.0,10,17055,221061
17236.0,29,15187,222805
19991.0,0,16258,226130
20780.0,15,17973,228649
21668.0,58,17687,232336
21468.0,25,17025,236516
20670.0,8,17655,239255
20546.0,14,16945,242567
19740.0,19,17450,244566
19631.0,7,16467,247477
22242.0,4,19680,249761
22948.0,9,21720,250732
23564.0,23,21448,252615
22262.0,40,18576,256053
19807.0,5,18200,257357
17672.0,8,19053,255703
20837.0,22,18613,257740
22642.0,5,20798,259349
24599.0,8,22657,261021
22070.0,15,21877,260978
22597.0,12,19492,263845
20579.0,7,20845,263334
19268.0,16,21257,261072
20897.0,1,18465,263248
18762.0,5,21073,260669
20988.0,1,23473,257957
0.0,14,22399,254719
19057.0,10,21582,251966
20396.0,8,20573,251540
17352.0,8,20201,248458
18547.0,18,18902,247875
19733.0,3,22701,244660
19307.0,6,24855,238900
21176.0,4,21476,238386
19550.0,7,21771,235952
19198.0,5,20980,233944
16073.0,21,24813,225023
15669.0,17,18053,222445
19495.0,11,18760,222969
18815.0,7,16939,224663
17577.0,3,22970,219080
15549.0,5,17205,217257
14954.0,11,23469,208583
14345.0,43,16814,205967
15759.0,27,16650,204924
14990.0,5,19702,200068
13754.0,4,16628,197046
14554.0,9,16751,194703
13899.0,6,18074,190369
13104.0,8,20971,182375
10959.0,12,16430,176775
11332.0,23,14160,173842
12434.0,8,17000,169152
12735.0,17,17725,164032
0.0,14,15891,159932
10915.0,7,15396,155320
9066.0,12,14454,149828
8075.0,6,15456,142355
8817.0,14,15615,135460
9380.0,13,13045,131702
9890.0,18,12884,128614
9751.0,15,12724,125552
8743.0,14,14422,119799
7373.0,2,10959,116130
6709.0,6,10833,111925
7276.0,10,10555,108550
7950.0,29,10832,105588
8084.0,21,12456,101151
7420.0,17,10145,98350
7509.0,16,9531,96256
6145.0,12,9231,93098
5434.0,5,8435,90028
5745.0,12,8933,86756
5516.0,14,9401,82807
6210.0,42,7562,81395
6630.0,15,7630,80324
5828.0,7,9178,76911
5666.0,20,6978,75541
4782.0,15,7414,72839
0.0,15,5607,72903
6148.0,21,7595,71390
6377.0,32,6637,71075
6060.0,13,7297,69779
5854.0,13,6715,68860
4979.0,23,6127,67675
4626.0,6,5299,66945
5071.0,15,5372,66596
5291.0,7,4947,66885
5713.0,32,5865,66682
4922.0,10,5579,65967
4701.0,28,5382,65244
4343.0,9,5190,64338
4543.0,15,7348,61480
5403.0,25,5311,61520
6243.0,24,5068,62655
6323.0,25,5337,63592
6517.0,16,6026,64035
5809.0,27,4712,65088
5162.0,11,5019,65193
5143.0,13,4551,65741
5413.0,17,6013,65095
6288.0,22,4743,66579
6380.0,28,5760,67164
6355.0,31,5031,68443
5859.0,19,4970,69294
4854.0,12,5525,68577
4885.0,18,5628,67793
5594.0,24,4908,68430
5755.0,23,5082,69060
6144.0,12,6602,68552
5501.0,25,6664,67346
5097.0,17,5352,67045
4239.0,12,5007,66239
4087.0,21,4984,65301
4879.0,24,5168,64978
5439.0,21,6803,63583
5806.0,11,7246,62099
5551.0,23,5301,62303
4896.0,18,4676,62481
4298.0,23,4928,61813
4262.0,15,5894,60139
4965.0,29,4817,60251
5020.0,17,4525,60709
5446.0,20,5427,60700
5058.0,17,4997,60731
4626.0,20,4690,60642
3490.0,14,5399,58704
3504.0,24,4401,57776
4097.0,18,4301,57539
3900.0,19,4552,56859
4262.0,36,4985,56109
4362.0,28,5098,55329
4083.0,34,5435,53940
3108.0,37,3701,53313
2589.0,46,3810,52051
3140.0,58,4277,50885
3519.0,100,5118,49267
3510.0,95,4997,47750
3528.0,103,4489,46763
3160.0,156,4420,45480
2778.0,129,3539,44702
2757.0,147,4620,42811
2897.0,192,3434,42243
3683.0,239,4322,41576
3997.0,366,3984,41562
3573.0,343,3988,41130
3386.0,346,3547,40943
2882.0,333,3291,40516
2690.0,300,3535,39651
2842.0,332,2862,39615
3270.0,252,3195,39664
3543.0,364,3484,39707
3381.0,319,3447,39628
3251.0,299,3161,39700
2888.0,323,2714,39857
2641.0,338,2808,39678
3175.0,272,2977,39867
3198.0,303,3200,39846
3684.0,321,3292,40217
3346.0,267,3052,40500
3074.0,319,2828,40730
3010.0,263,2584,41142
2342.0,180,2907,40564
3245.0,274,3093,40704
3229.0,239,2848,41074
3764.0,522,3254,41568
4046.0,489,2804,42800
4116.0,498,2858,44050
3856.0,492,2814,45078
3214.0,406,3116,45164
4066.0,442,3559,45666
4744.0,429,3646,46752
5439.0,332,4409,47771
5522.0,373,3285,49995
5139.0,226,3767,51358
4915.0,188,3056,53209
4774.0,152,3232,54743
5566.0,227,3187,57110
5736.0,183,3196,59638
0.0,130,3968,61383
7234.0,234,5254,63350
9117.0,134,6546,65910
10089.0,143,6460,69520
11034.0,77,6036,74503
13944.0,153,5421,83006
17134.0,130,5681,94444
19090.0,134,5712,107798
20939.0,121,5807,122903
22802.0,94,5442,140234
21072.0,65,5724,155546
21315.0,81,8517,168307
22133.0,80,7584,182823
27831.0,118,7912,202699
26701.0,132,11744,217613
27808.0,119,12488,232878
28825.0,91,18514,243144
26832.0,68,18459,251469
25099.0,85,17749,258776
27179.0,120,19037,266862
31199.0,119,20399,277606
32070.0,209,23332,286285
30644.0,257,22678,294201
27299.0,256,22710,298726
24466.0,246,22380,300748
23100.0,298,30624,293162
25854.0,448,25548,293390
27500.0,428,27557,293256
32467.0,413,27629,298015
33209.0,441,26352,304797
33406.0,342,27143,310982
27435.0,254,30335,308007
26856.0,211,30726,304061
31490.0,473,29035,306441
30246.0,418,26653,309949
30787.0,608,26457,314211
32800.0,541,24444,322507
26250.0,545,25089,323618
22535.0,361,25356,320785
22030.0,394,33872,308943
